Node Name,label,MCL Cluster,MCL Cluster Size,Node Component Identifier,Node Degree,Node In Degree,Node Multiplicity,Node Out Degree
1052,QSER1,Cluster 236,6,Component 2,4,0,1,4
1053,PLEKHN1,Cluster 4419,1,Component 374,0,0,1,0
1054,EYA3,Cluster 4418,1,Component 375,0,0,1,0
1055,PRPF6,Cluster 35,24,Component 2,14,0,1,14
1056,DNAH9,Cluster 4417,1,Component 376,0,0,1,0
1057,PCGF5,Cluster 4416,1,Component 377,0,0,1,0
1058,STAT1,Cluster 3,64,Component 2,79,6,1,73
1059,MRPL49,Cluster 322,5,Component 2,7,1,1,6
1060,TTC30A,Cluster 1388,2,Component 378,1,0,1,1
1061,DACH1,Cluster 4415,1,Component 379,0,0,1,0
1062,SCLY,Cluster 4414,1,Component 380,0,0,1,0
1063,SCGB1A1,Cluster 4413,1,Component 381,0,0,1,0
1064,IL4,Cluster 1387,2,Component 2,2,0,1,2
1065,RPL36AL,Cluster 4412,1,Component 2,29,0,1,29
1066,TRAF1,Cluster 321,5,Component 2,5,0,1,5
1067,SERPINI1,Cluster 4411,1,Component 382,0,0,1,0
1068,TOP2B,Cluster 75,13,Component 2,5,0,1,5
1069,SLC34A3,Cluster 803,3,Component 383,2,0,1,2
1070,ERICH4,Cluster 4410,1,Component 384,0,0,1,0
1071,SETD2,Cluster 186,7,Component 2,13,1,1,12
1072,SCN11A,Cluster 23,28,Component 2,2,0,1,2
1073,TBC1D5,Cluster 802,3,Component 2,1,0,1,1
1074,RWDD4,Cluster 97,11,Component 2,8,0,1,8
1075,CDK12,Cluster 4409,1,Component 2,23,1,1,22
1076,NAA35,Cluster 203,7,Component 2,14,1,1,13
1077,AK9,Cluster 1386,2,Component 2,1,0,1,1
1078,EYS,Cluster 4408,1,Component 385,0,0,1,0
1079,NAGK,Cluster 4407,1,Component 2,5,1,1,4
1080,F2,Cluster 244,6,Component 2,3,0,1,3
1081,OBSL1,Cluster 1385,2,Component 386,1,0,1,1
1082,LONP2,Cluster 4406,1,Component 387,0,0,1,0
1083,HINFP,Cluster 62,16,Component 2,18,0,1,18
1084,PRKAB2,Cluster 801,3,Component 2,1,0,1,1
1085,KDM5A,Cluster 320,5,Component 2,7,0,1,7
1086,KCNH1,Cluster 4405,1,Component 388,0,0,1,0
1087,KRTDAP,Cluster 4404,1,Component 389,0,0,1,0
1088,COP1,Cluster 170,8,Component 2,2,0,1,2
1089,CAPZA1,Cluster 1384,2,Component 2,7,2,1,5
1090,EFCAB7,Cluster 235,6,Component 2,2,0,1,2
1091,COL2A1,Cluster 4403,1,Component 390,0,0,1,0
1092,PRKCB,Cluster 10,36,Component 2,4,1,1,3
1093,LINC01297,Cluster 4402,1,Component 391,0,0,1,0
1094,ROR1,Cluster 800,3,Component 2,3,0,1,3
1095,IFNW1,Cluster 4401,1,Component 392,0,0,1,0
1096,FOXA2,Cluster 1383,2,Component 2,3,2,1,1
1097,BMP3,Cluster 4400,1,Component 393,0,0,1,0
1098,KRT5,Cluster 87,12,Component 2,10,2,1,8
1099,MTSS1,Cluster 4399,1,Component 394,0,0,1,0
1100,ANAPC15,Cluster 1382,2,Component 2,1,0,1,1
1101,UGT8,Cluster 4398,1,Component 395,0,0,1,0
1102,EIF4ENIF1,Cluster 21,29,Component 2,6,2,1,4
1103,PROCR,Cluster 4397,1,Component 396,0,0,1,0
1104,UBQLN1,Cluster 203,7,Component 2,6,1,1,5
1105,SERPINF2,Cluster 4396,1,Component 397,0,0,1,0
1106,SPEM1,Cluster 1381,2,Component 398,1,0,1,1
1107,ALOX15,Cluster 164,8,Component 2,1,0,1,1
1108,PSMB3,Cluster 133,9,Component 2,14,2,1,12
1109,KRTAP1-5,Cluster 4395,1,Component 399,0,0,1,0
1110,ADCY5,Cluster 1380,2,Component 2,1,0,1,1
1111,GGT2P,Cluster 4394,1,Component 400,0,0,1,0
1112,EN2,Cluster 4393,1,Component 401,0,0,1,0
1113,HAO1,Cluster 1379,2,Component 402,1,0,1,1
1114,KCNK5,Cluster 4392,1,Component 403,0,0,1,0
1115,KCNJ2,Cluster 4391,1,Component 404,0,0,1,0
1116,VPS9D1,Cluster 79,13,Component 2,5,0,1,5
1117,SPRED1,Cluster 253,6,Component 2,1,0,1,1
1118,RBL2,Cluster 70,14,Component 2,7,1,1,6
1119,FZD10,Cluster 4390,1,Component 405,0,0,1,0
1120,RAD54L,Cluster 161,8,Component 2,26,2,1,24
1121,SLC25A33,Cluster 4389,1,Component 406,0,0,1,0
1122,IFIT1,Cluster 3,64,Component 2,59,7,1,52
1123,METTL13,Cluster 12,34,Component 2,15,2,1,13
1124,RAB2B,Cluster 111,10,Component 2,1,0,1,1
1125,LRRC15,Cluster 59,16,Component 2,5,0,1,5
1126,KIF3C,Cluster 4388,1,Component 407,0,0,1,0
1127,TMEM106B,Cluster 234,6,Component 2,7,0,1,7
1128,NSD2,Cluster 1,96,Component 2,25,0,1,25
1129,MEP1A,Cluster 4387,1,Component 408,0,0,1,0
1130,FAM168A,Cluster 168,8,Component 2,2,0,1,2
1131,JADE1,Cluster 1378,2,Component 2,1,0,1,1
1132,RAB3IL1,Cluster 1410,2,Component 311,1,1,1,0
1133,SUMF2,Cluster 1377,2,Component 409,1,0,1,1
1134,ARFGAP3,Cluster 799,3,Component 2,4,0,1,4
1135,TAF9,Cluster 1376,2,Component 2,1,0,1,1
1136,KIF27,Cluster 4386,1,Component 410,0,0,1,0
1137,TRAPPC3,Cluster 140,9,Component 2,15,2,1,13
1138,PTGIS,Cluster 4385,1,Component 411,0,0,1,0
1139,HARS2,Cluster 340,5,Component 2,7,3,1,4
1140,SOX6,Cluster 4384,1,Component 412,0,0,1,0
1141,CAPRIN1,Cluster 160,8,Component 2,10,1,1,9
1142,PNP,Cluster 4383,1,Component 413,0,0,1,0
1143,CDH10,Cluster 4382,1,Component 414,0,0,1,0
1144,ZCCHC8,Cluster 66,15,Component 2,6,1,1,5
1145,CLCC1,Cluster 264,6,Component 2,8,1,1,7
1146,SKAP2,Cluster 105,11,Component 2,4,0,1,4
1147,HEG1,Cluster 4381,1,Component 415,0,0,1,0
1148,APBA3,Cluster 330,5,Component 2,8,1,1,7
1149,OLIG2,Cluster 118,10,Component 2,1,0,1,1
1150,TEFM,Cluster 132,9,Component 2,7,0,1,7
1151,RGMB,Cluster 798,3,Component 416,2,0,1,2
1152,ARHGAP21,Cluster 1375,2,Component 417,1,0,1,1
1153,LATS1,Cluster 4380,1,Component 418,0,0,1,0
1154,BTG2,Cluster 7,39,Component 2,15,1,1,14
1155,SMC2,Cluster 1,96,Component 2,29,1,1,28
1156,SHE,Cluster 480,4,Component 2,1,0,1,1
1157,TPD52L2,Cluster 35,24,Component 2,15,2,1,13
1158,PAQR4,Cluster 797,3,Component 2,5,1,1,4
1159,LARS2,Cluster 796,3,Component 2,13,0,1,13
1160,SEC63,Cluster 49,19,Component 2,16,4,1,12
1161,CAND2,Cluster 53,18,Component 2,1,0,1,1
1162,HLA-DMA,Cluster 90,12,Component 2,27,1,1,26
1163,SCIN,Cluster 4379,1,Component 419,0,0,1,0
1164,ZNF609,Cluster 4378,1,Component 420,0,0,1,0
1165,SLBP,Cluster 88,12,Component 2,10,1,1,9
1166,EDF1,Cluster 13,33,Component 2,15,1,1,14
1167,GH2,Cluster 479,4,Component 2,1,0,1,1
1168,SNRPD3,Cluster 21,29,Component 2,21,1,1,20
1169,PMFBP1,Cluster 4377,1,Component 421,0,0,1,0
1170,PCSK4,Cluster 4376,1,Component 422,0,0,1,0
1171,IMPDH1,Cluster 832,3,Component 2,6,1,1,5
1172,SCUBE3,Cluster 4375,1,Component 423,0,0,1,0
1173,GMCL1,Cluster 795,3,Component 2,2,0,1,2
1174,SRCAP,Cluster 319,5,Component 2,5,0,1,5
1175,IFT74,Cluster 54,17,Component 2,7,0,1,7
1176,ZNF514,Cluster 1374,2,Component 2,1,0,1,1
1177,CAD,Cluster 341,5,Component 2,3,1,1,2
1178,EIF6,Cluster 81,13,Component 2,15,3,1,12
1179,HLA-B,Cluster 11,34,Component 2,36,5,1,31
1180,CX3CL1,Cluster 478,4,Component 2,1,0,1,1
1181,CWF19L2,Cluster 794,3,Component 2,1,0,1,1
1182,ATP1A4,Cluster 1373,2,Component 2,1,0,1,1
1183,KPNB1,Cluster 159,8,Component 2,5,0,1,5
1184,DRP2,Cluster 4374,1,Component 424,0,0,1,0
1185,ALDH9A1,Cluster 197,7,Component 2,3,0,1,3
1186,ELAC2,Cluster 337,5,Component 2,6,0,1,6
1187,SAE1,Cluster 793,3,Component 2,7,1,1,6
1188,GPC3,Cluster 4373,1,Component 425,0,0,1,0
1189,KRT81,Cluster 4372,1,Component 426,0,0,1,0
1190,DUSP4,Cluster 1372,2,Component 2,3,0,1,3
